Time	Waarde	Status	Kwaliteit	Reason	Status	Suppression Type
6-8-2024 16:45:51.740	1	Normal	Goed	Huidige Data	Valid	None
6-8-2024 14:52:24.827	2	Normal	Goed	Huidige Data	Valid	None
6-8-2024 14:25:13.913	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-8-2024 12:59:54.227	1	Normal	Goed	Huidige Data	Valid	None
6-8-2024 10:22:52.277	2	Normal	Goed	Huidige Data	Valid	None
30-7-2024 14:25:14.078	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
30-7-2024 7:34:55.924	1	Normal	Goed	Huidige Data	Valid	None
30-7-2024 7:28:40.373	5	Normal	Goed	Huidige Data	Valid	None
23-7-2024 14:25:13.639	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
23-7-2024 8:28:29.796	1	Normal	Goed	Huidige Data	Valid	None
23-7-2024 7:48:48.146	2	Normal	Goed	Huidige Data	Valid	None
15-7-2024 7:41:06.421	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-7-2024 7:29:15.494	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-7-2024 2:25:13.866	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-7-2024 1:14:42.415	1	Normal	Goed	Huidige Data	Valid	None
12-7-2024 14:34:06.677	2	Normal	Goed	Huidige Data	Valid	None
18-6-2024 18:33:19.441	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-6-2024 14:46:25.845	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-6-2024 14:23:27.982	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-6-2024 11:38:41.542	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-6-2024 11:24:20.220	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-6-2024 15:07:19.004	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-6-2024 13:30:27.020	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
30-5-2024 14:25:14.844	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
30-5-2024 13:56:29.206	1	Normal	Goed	Huidige Data	Valid	None
30-5-2024 10:42:03.306	5	Normal	Goed	Huidige Data	Valid	None
30-5-2024 10:01:14.456	1	Normal	Goed	Huidige Data	Valid	None
30-5-2024 8:42:27.406	5	Normal	Goed	Huidige Data	Valid	None
30-5-2024 8:40:27.356	4	Normal	Goed	Huidige Data	Valid	None
30-5-2024 8:40:21.006	3	Normal	Goed	Huidige Data	Valid	None
29-5-2024 16:34:04.212	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-5-2024 14:25:13.689	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-5-2024 7:48:30.577	1	Normal	Goed	Huidige Data	Valid	None
29-5-2024 7:26:43.827	2	Normal	Goed	Huidige Data	Valid	None
22-5-2024 14:25:13.776	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
22-5-2024 14:09:23.846	1	Normal	Goed	Huidige Data	Valid	None
22-5-2024 2:25:13.741	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-5-2024 23:34:02.174	2	Normal	Goed	Huidige Data	Valid	None
21-5-2024 10:21:57.486	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-5-2024 10:01:47.500	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-5-2024 2:25:14.073	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-5-2024 15:06:57.869	1	Normal	Goed	Huidige Data	Valid	None
16-5-2024 14:25:13.969	5	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-5-2024 6:46:48.819	5	Normal	Goed	Huidige Data	Valid	None
29-4-2024 9:56:45.362	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-4-2024 9:45:52.503	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-4-2024 14:25:13.694	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-4-2024 13:14:36.216	1	Normal	Goed	Huidige Data	Valid	None
9-4-2024 12:00:13.316	3	Normal	Goed	Huidige Data	Valid	None
2-4-2024 14:25:14.145	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-4-2024 13:54:24.612	1	Normal	Goed	Huidige Data	Valid	None
2-4-2024 13:05:07.362	5	Normal	Goed	Huidige Data	Valid	None
2-4-2024 13:03:08.162	4	Normal	Goed	Huidige Data	Valid	None
2-4-2024 13:03:05.362	3	Normal	Goed	Huidige Data	Valid	None
30-3-2024 1:25:13.763	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-3-2024 13:38:30.560	1	Normal	Goed	Huidige Data	Valid	None
29-3-2024 13:25:58.310	5	Normal	Goed	Huidige Data	Valid	None
29-3-2024 13:25:13.632	4	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-3-2024 13:23:58.960	4	Normal	Goed	Huidige Data	Valid	None
29-3-2024 11:30:55.460	3	Normal	Goed	Huidige Data	Valid	None
21-3-2024 13:25:13.812	5	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-3-2024 8:35:50.053	5	Normal	Goed	Huidige Data	Valid	None
21-2-2024 7:36:53.069	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-2-2024 7:23:45.113	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-2-2024 13:25:13.718	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-2-2024 9:01:12.466	1	Normal	Goed	Huidige Data	Valid	None
10-2-2024 9:00:38.504	5	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-2-2024 8:54:42.716	5	Normal	Goed	Huidige Data	Valid	None
7-2-2024 13:25:13.649	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-2-2024 8:28:36.947	1	Normal	Goed	Huidige Data	Valid	None
7-2-2024 8:28:28.697	2	Normal	Goed	Huidige Data	Valid	None
27-1-2024 16:48:54.909	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
