Time;Waarde;Status;Kwaliteit;Reason;Status.1;Suppression Type
2024-01-15 11:15:06.648;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-01-11 11:25:45.874;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-01-11 10:35:53.361;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-12-27 11:00:54.364;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-12-27 10:50:18.276;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-12-26 15:41:28.135;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-12-22 10:41:11.917;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-12-21 13:25:02.640;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-12-21 08:03:13.177;3;Normal;Goed;Huidige Data;Valid;
2023-12-21 08:02:04.827;35;Normal;Goed;Huidige Data;Valid;
2023-12-05 13:25:02.492;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-12-05 11:27:37.228;3;Normal;Goed;Huidige Data;Valid;
2023-12-05 11:27:34.778;2;Normal;Goed;Huidige Data;Valid;
2023-12-05 11:27:33.578;3;Normal;Goed;Huidige Data;Valid;
2023-12-05 09:55:17.028;2;Normal;Goed;Huidige Data;Valid;
2023-12-05 09:05:22.328;0;Normal;Goed;Huidige Data;Valid;
2023-12-05 09:05:20.478;1;Normal;Goed;Huidige Data;Valid;
2023-12-04 09:25:35.001;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-12-04 09:14:11.171;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-11-16 01:25:02.645;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-11-15 14:10:16.712;3;Normal;Goed;Huidige Data;Valid;
2023-11-15 14:10:16.662;3;Normal;Goed;Huidige Data;Valid;
2023-10-29 21:52:11.526;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-10-17 14:25:02.571;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-10-17 07:32:03.051;3;Normal;Goed;Huidige Data;Valid;
2023-10-17 07:29:46.451;35;Normal;Goed;Huidige Data;Valid;
2023-10-09 14:25:02.257;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-10-09 09:47:06.892;3;Normal;Goed;Huidige Data;Valid;
2023-10-09 09:44:54.892;1;Normal;Goed;Huidige Data;Valid;
2023-10-09 09:38:15.043;3;Normal;Goed;Huidige Data;Valid;
2023-10-09 09:17:22.692;1;Normal;Goed;Huidige Data;Valid;
2023-10-04 08:29:11.706;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-28 14:25:02.364;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-28 06:45:50.226;3;Normal;Goed;Huidige Data;Valid;
2023-09-28 06:41:39.025;35;Normal;Goed;Huidige Data;Valid;
2023-09-28 02:25:02.343;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-27 21:45:26.034;3;Normal;Goed;Huidige Data;Valid;
2023-09-27 21:44:48.584;35;Normal;Goed;Huidige Data;Valid;
2023-09-27 14:25:02.583;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-27 08:02:33.232;3;Normal;Goed;Huidige Data;Valid;
2023-09-27 08:02:33.132;3;Normal;Goed;Huidige Data;Valid;
2023-09-27 08:00:48.882;0;Normal;Goed;Huidige Data;Valid;
2023-09-27 08:00:48.832;1;Normal;Goed;Huidige Data;Valid;
2023-09-26 14:25:02.318;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-26 13:41:13.804;3;Normal;Goed;Huidige Data;Valid;
2023-09-26 12:42:18.704;2;Normal;Goed;Huidige Data;Valid;
2023-09-20 14:25:02.276;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-20 06:16:02.400;3;Normal;Goed;Huidige Data;Valid;
2023-09-20 06:15:08.600;35;Normal;Goed;Huidige Data;Valid;
2023-09-14 11:49:20.865;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-14 11:36:32.531;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-02 02:25:02.637;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-09-01 14:35:32.111;3;Normal;Goed;Huidige Data;Valid;
2023-09-01 14:25:14.211;2;Normal;Goed;Huidige Data;Valid;
2023-08-02 13:20:11.719;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-07-25 06:46:48.161;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-07-25 06:40:34.920;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-07-18 14:25:02.620;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-07-18 10:34:09.080;3;Normal;Goed;Huidige Data;Valid;
2023-07-18 10:34:09.030;3;Normal;Goed;Huidige Data;Valid;
2023-07-18 10:24:44.480;0;Normal;Goed;Huidige Data;Valid;
2023-07-18 10:24:44.430;0;Normal;Goed;Huidige Data;Valid;
2023-06-28 14:25:02.302;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-06-28 12:04:12.094;3;Normal;Goed;Huidige Data;Valid;
2023-06-28 10:53:14.744;2;Normal;Goed;Huidige Data;Valid;
2023-06-28 10:53:05.544;3;Normal;Goed;Huidige Data;Valid;
2023-06-28 10:49:01.744;2;Normal;Goed;Huidige Data;Valid;
2023-06-28 10:41:12.094;3;Normal;Goed;Huidige Data;Valid;
2023-06-28 10:38:56.444;2;Normal;Goed;Huidige Data;Valid;
2023-06-15 23:08:51.650;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-06-15 14:36:17.618;3;Normal;Goed;Huidige Data;Valid;
2023-06-15 14:25:02.291;2;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-06-15 14:06:34.025;2;Normal;Goed;Huidige Data;Valid;
2023-05-17 14:25:02.689;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-05-17 13:14:01.783;3;Normal;Goed;Huidige Data;Valid;
2023-05-17 13:09:12.983;2;Normal;Goed;Huidige Data;Valid;
2023-05-17 13:07:16.633;3;Normal;Goed;Huidige Data;Valid;
2023-05-17 06:27:01.283;2;Normal;Goed;Huidige Data;Valid;
2023-05-01 14:25:02.663;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-05-01 13:35:48.215;3;Normal;Goed;Huidige Data;Valid;
2023-05-01 13:33:22.115;1;Normal;Goed;Huidige Data;Valid;
2023-05-01 12:02:46.415;3;Normal;Goed;Huidige Data;Valid;
2023-05-01 12:02:31.766;2;Normal;Goed;Huidige Data;Valid;
2023-05-01 11:47:31.265;3;Normal;Goed;Huidige Data;Valid;
2023-05-01 11:45:46.415;1;Normal;Goed;Huidige Data;Valid;
2023-05-01 11:43:37.765;3;Normal;Goed;Huidige Data;Valid;
2023-05-01 11:42:43.266;2;Normal;Goed;Huidige Data;Valid;
2023-04-22 18:35:47.295;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-04-22 18:04:01.858;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-03-26 01:25:02.670;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-03-25 21:32:07.882;3;Normal;Goed;Huidige Data;Valid;
2023-03-25 21:32:04.832;2;Normal;Goed;Huidige Data;Valid;
2023-03-25 21:28:50.082;3;Normal;Goed;Huidige Data;Valid;
2023-03-25 21:28:44.882;2;Normal;Goed;Huidige Data;Valid;
2023-03-16 01:25:02.399;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-03-15 13:47:07.083;3;Normal;Goed;Huidige Data;Valid;
2023-03-15 13:42:57.483;2;Normal;Goed;Huidige Data;Valid;
2023-03-06 06:47:36.825;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-03-06 06:39:46.874;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-30 13:25:02.537;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-30 07:00:52.695;3;Normal;Goed;Huidige Data;Valid;
2023-01-30 06:37:14.195;35;Normal;Goed;Huidige Data;Valid;
2023-01-26 23:19:19.485;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-26 15:40:19.223;3;Normal;Goed;Huidige Data;Valid;
2023-01-26 15:39:31.023;1;Normal;Goed;Huidige Data;Valid;
2023-01-26 15:11:10.723;3;Normal;Goed;Huidige Data;Valid;
2023-01-26 15:06:01.124;1;Normal;Goed;Huidige Data;Valid;
2023-01-26 14:45:08.223;3;Normal;Goed;Huidige Data;Valid;
2023-01-26 14:39:23.473;1;Normal;Goed;Huidige Data;Valid;
2023-01-24 06:54:35.148;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-24 06:47:13.888;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-23 13:25:02.490;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-23 09:32:18.603;3;Normal;Goed;Huidige Data;Valid;
2023-01-23 09:32:17.603;2;Normal;Goed;Huidige Data;Valid;
2023-01-23 07:16:04.403;3;Normal;Goed;Huidige Data;Valid;
2023-01-23 06:55:59.153;2;Normal;Goed;Huidige Data;Valid;
2023-01-23 01:25:02.621;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-22 15:09:46.734;3;Normal;Goed;Huidige Data;Valid;
2023-01-22 15:02:50.034;2;Normal;Goed;Huidige Data;Valid;
2023-01-22 15:00:28.284;0;Normal;Goed;Huidige Data;Valid;
2023-01-22 14:59:15.484;1;Normal;Goed;Huidige Data;Valid;
2023-01-22 13:25:02.676;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-22 08:33:03.676;3;Normal;Goed;Huidige Data;Valid;
2023-01-22 08:32:31.526;2;Normal;Goed;Huidige Data;Valid;
2023-01-21 08:45:36.481;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-18 01:25:02.387;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-17 15:33:51.454;3;Normal;Goed;Huidige Data;Valid;
2023-01-17 15:30:04.804;1;Normal;Goed;Huidige Data;Valid;
2023-01-13 13:25:03.246;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-13 11:33:07.439;3;Normal;Goed;Huidige Data;Valid;
2023-01-13 11:29:13.039;1;Normal;Goed;Huidige Data;Valid;
2023-01-13 11:17:10.339;3;Normal;Goed;Huidige Data;Valid;
2023-01-13 01:25:02.562;1;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-12 14:13:05.396;1;Normal;Goed;Huidige Data;Valid;
2023-01-02 13:25:02.640;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-02 09:12:46.486;3;Normal;Goed;Huidige Data;Valid;
2023-01-02 09:08:28.786;1;Normal;Goed;Huidige Data;Valid;
2023-01-02 08:40:19.936;3;Normal;Goed;Huidige Data;Valid;
2023-01-02 08:23:13.036;1;Normal;Goed;Huidige Data;Valid;
2023-01-02 01:25:02.335;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-01 15:26:52.733;3;Normal;Goed;Huidige Data;Valid;
2023-01-01 15:26:51.033;1;Normal;Goed;Huidige Data;Valid;
2023-01-01 15:26:45.933;3;Normal;Goed;Huidige Data;Valid;
2023-01-01 15:25:20.233;1;Normal;Goed;Huidige Data;Valid;
2023-01-01 15:24:38.633;3;Normal;Goed;Huidige Data;Valid;
2023-01-01 15:17:39.283;1;Normal;Goed;Huidige Data;Valid;
2023-01-01 15:17:13.033;3;Normal;Goed;Huidige Data;Valid;
2023-01-01 15:13:28.483;1;Normal;Goed;Huidige Data;Valid;
2023-01-01 13:25:02.518;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2023-01-01 03:21:35.418;3;Normal;Goed;Huidige Data;Valid;
2023-01-01 01:25:02.354;1;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-12-31 19:09:17.216;1;Normal;Goed;Huidige Data;Valid;
2022-12-31 19:08:52.366;33;Normal;Goed;Huidige Data;Valid;
2022-12-31 16:17:20.816;1;Normal;Goed;Huidige Data;Valid;
2022-12-31 13:40:44.893;0;Normal;Goed;Huidige Data;Valid;
2022-12-31 13:40:29.892;1;Normal;Goed;Huidige Data;Valid;
2022-12-31 13:40:27.042;0;Normal;Goed;Huidige Data;Valid;
2022-12-31 13:25:03.342;1;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-12-31 13:23:38.242;1;Normal;Goed;Huidige Data;Valid;
2022-12-31 12:07:16.256;0;Normal;Goed;Huidige Data;Valid;
2022-12-31 12:05:29.556;2;Normal;Goed;Huidige Data;Valid;
2022-12-31 12:05:15.156;3;Normal;Goed;Huidige Data;Valid;
2022-12-31 12:05:12.956;2;Normal;Goed;Huidige Data;Valid;
2022-12-27 06:53:49.178;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-12-27 06:45:58.108;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-12-07 01:25:02.618;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-12-06 14:48:36.800;3;Normal;Goed;Huidige Data;Valid;
2022-12-06 01:25:02.714;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-12-05 15:11:06.268;3;Normal;Goed;Huidige Data;Valid;
2022-12-05 15:11:02.218;2;Normal;Goed;Huidige Data;Valid;
2022-12-05 15:10:27.568;34;Normal;Goed;Huidige Data;Valid;
2022-12-05 15:10:21.818;2;Normal;Goed;Huidige Data;Valid;
2022-12-05 15:10:16.168;34;Normal;Goed;Huidige Data;Valid;
2022-12-05 15:09:28.218;2;Normal;Goed;Huidige Data;Valid;
2022-12-05 15:09:20.918;34;Normal;Goed;Huidige Data;Valid;
2022-12-05 13:25:02.562;2;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-12-05 06:52:28.050;2;Normal;Goed;Huidige Data;Valid;
2022-11-25 15:58:35.594;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-11-11 01:25:02.226;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-11-10 16:43:34.690;3;Normal;Goed;Huidige Data;Valid;
2022-11-10 16:43:01.690;1;Normal;Goed;Huidige Data;Valid;
2022-11-10 15:16:15.440;3;Normal;Goed;Huidige Data;Valid;
2022-11-10 15:16:15.390;3;Normal;Goed;Huidige Data;Valid;
2022-11-08 21:56:05.394;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-11-08 21:36:05.387;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-11-08 14:30:22.963;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-11-02 01:25:02.352;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-11-01 14:16:47.950;3;Normal;Goed;Huidige Data;Valid;
2022-10-31 13:25:02.323;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-31 11:29:02.314;3;Normal;Goed;Huidige Data;Valid;
2022-10-31 11:19:05.014;0;Normal;Goed;Huidige Data;Valid;
2022-10-31 10:31:59.714;3;Normal;Goed;Huidige Data;Valid;
2022-10-31 10:31:32.714;1;Normal;Goed;Huidige Data;Valid;
2022-10-31 10:30:37.514;3;Normal;Goed;Huidige Data;Valid;
2022-10-31 10:30:28.514;1;Normal;Goed;Huidige Data;Valid;
2022-10-31 10:19:17.514;3;Normal;Goed;Huidige Data;Valid;
2022-10-31 10:18:29.565;1;Normal;Goed;Huidige Data;Valid;
2022-10-26 15:27:35.718;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
