Time	Waarde	Status	Kwaliteit	Reason	Status	Suppression Type
9-4-2024 13:14:34.966	3	Normal	Goed	Huidige Data	Valid	None
9-4-2024 12:00:13.916	2	Normal	Goed	Huidige Data	Valid	None
30-3-2024 1:25:02.169	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-3-2024 13:26:34.010	3	Normal	Goed	Huidige Data	Valid	None
29-3-2024 13:26:33.860	2	Normal	Goed	Huidige Data	Valid	None
29-3-2024 13:26:32.710	3	Normal	Goed	Huidige Data	Valid	None
29-3-2024 13:26:10.960	2	Normal	Goed	Huidige Data	Valid	None
12-3-2024 1:25:02.058	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
11-3-2024 18:11:17.959	3	Normal	Goed	Huidige Data	Valid	None
11-3-2024 18:11:17.909	3	Normal	Goed	Huidige Data	Valid	None
21-2-2024 7:35:31.163	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-2-2024 7:22:26.551	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-2-2024 13:25:02.124	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-2-2024 9:01:12.767	3	Normal	Goed	Huidige Data	Valid	None
10-2-2024 9:01:12.616	2	Normal	Goed	Huidige Data	Valid	None
10-2-2024 9:00:26.910	0	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-2-2024 8:54:42.366	0	Normal	Goed	Huidige Data	Valid	None
10-2-2024 8:54:42.316	0	Normal	Goed	Huidige Data	Valid	None
27-1-2024 16:48:29.598	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
24-1-2024 13:25:02.037	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
24-1-2024 10:38:24.650	3	Normal	Goed	Huidige Data	Valid	None
15-1-2024 11:27:18.746	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-1-2024 11:15:06.648	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
11-1-2024 11:25:45.874	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
11-1-2024 10:35:53.361	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-12-2023 11:00:54.364	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-12-2023 10:50:18.276	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-12-2023 15:41:28.135	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
22-12-2023 10:41:11.917	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-12-2023 13:25:02.640	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-12-2023 8:03:13.177	3	Normal	Goed	Huidige Data	Valid	None
21-12-2023 8:02:04.827	35	Normal	Goed	Huidige Data	Valid	None
5-12-2023 13:25:02.492	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-12-2023 11:27:37.228	3	Normal	Goed	Huidige Data	Valid	None
5-12-2023 11:27:34.778	2	Normal	Goed	Huidige Data	Valid	None
5-12-2023 11:27:33.578	3	Normal	Goed	Huidige Data	Valid	None
5-12-2023 9:55:17.028	2	Normal	Goed	Huidige Data	Valid	None
5-12-2023 9:05:22.328	0	Normal	Goed	Huidige Data	Valid	None
5-12-2023 9:05:20.478	1	Normal	Goed	Huidige Data	Valid	None
4-12-2023 9:25:35.001	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
4-12-2023 9:14:11.171	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-11-2023 1:25:02.645	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-11-2023 14:10:16.712	3	Normal	Goed	Huidige Data	Valid	None
15-11-2023 14:10:16.662	3	Normal	Goed	Huidige Data	Valid	None
29-10-2023 21:52:11.526	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-10-2023 14:25:02.571	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-10-2023 7:32:03.051	3	Normal	Goed	Huidige Data	Valid	None
17-10-2023 7:29:46.451	35	Normal	Goed	Huidige Data	Valid	None
9-10-2023 14:25:02.257	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-10-2023 9:47:06.892	3	Normal	Goed	Huidige Data	Valid	None
9-10-2023 9:44:54.892	1	Normal	Goed	Huidige Data	Valid	None
9-10-2023 9:38:15.043	3	Normal	Goed	Huidige Data	Valid	None
9-10-2023 9:17:22.692	1	Normal	Goed	Huidige Data	Valid	None
4-10-2023 8:29:11.706	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-9-2023 14:25:02.364	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-9-2023 6:45:50.226	3	Normal	Goed	Huidige Data	Valid	None
28-9-2023 6:41:39.025	35	Normal	Goed	Huidige Data	Valid	None
28-9-2023 2:25:02.343	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-9-2023 21:45:26.034	3	Normal	Goed	Huidige Data	Valid	None
27-9-2023 21:44:48.584	35	Normal	Goed	Huidige Data	Valid	None
27-9-2023 14:25:02.583	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-9-2023 8:02:33.232	3	Normal	Goed	Huidige Data	Valid	None
27-9-2023 8:02:33.132	3	Normal	Goed	Huidige Data	Valid	None
27-9-2023 8:00:48.882	0	Normal	Goed	Huidige Data	Valid	None
27-9-2023 8:00:48.832	1	Normal	Goed	Huidige Data	Valid	None
26-9-2023 14:25:02.318	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-9-2023 13:41:13.804	3	Normal	Goed	Huidige Data	Valid	None
26-9-2023 12:42:18.704	2	Normal	Goed	Huidige Data	Valid	None
20-9-2023 14:25:02.276	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-9-2023 6:16:02.400	3	Normal	Goed	Huidige Data	Valid	None
20-9-2023 6:15:08.600	35	Normal	Goed	Huidige Data	Valid	None
14-9-2023 11:49:20.865	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
14-9-2023 11:36:32.531	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-9-2023 2:25:02.637	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
1-9-2023 14:35:32.111	3	Normal	Goed	Huidige Data	Valid	None
1-9-2023 14:25:14.211	2	Normal	Goed	Huidige Data	Valid	None
2-8-2023 13:20:11.719	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
25-7-2023 6:46:48.161	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
25-7-2023 6:40:34.920	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-7-2023 14:25:02.620	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-7-2023 10:34:09.080	3	Normal	Goed	Huidige Data	Valid	None
18-7-2023 10:34:09.030	3	Normal	Goed	Huidige Data	Valid	None
18-7-2023 10:24:44.480	0	Normal	Goed	Huidige Data	Valid	None
18-7-2023 10:24:44.430	0	Normal	Goed	Huidige Data	Valid	None
28-6-2023 14:25:02.302	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-6-2023 12:04:12.094	3	Normal	Goed	Huidige Data	Valid	None
28-6-2023 10:53:14.744	2	Normal	Goed	Huidige Data	Valid	None
28-6-2023 10:53:05.544	3	Normal	Goed	Huidige Data	Valid	None
28-6-2023 10:49:01.744	2	Normal	Goed	Huidige Data	Valid	None
28-6-2023 10:41:12.094	3	Normal	Goed	Huidige Data	Valid	None
28-6-2023 10:38:56.444	2	Normal	Goed	Huidige Data	Valid	None
15-6-2023 23:08:51.650	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-6-2023 14:36:17.618	3	Normal	Goed	Huidige Data	Valid	None
15-6-2023 14:25:02.291	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-6-2023 14:06:34.025	2	Normal	Goed	Huidige Data	Valid	None
17-5-2023 14:25:02.689	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-5-2023 13:14:01.783	3	Normal	Goed	Huidige Data	Valid	None
17-5-2023 13:09:12.983	2	Normal	Goed	Huidige Data	Valid	None
17-5-2023 13:07:16.633	3	Normal	Goed	Huidige Data	Valid	None
17-5-2023 6:27:01.283	2	Normal	Goed	Huidige Data	Valid	None
1-5-2023 14:25:02.663	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
1-5-2023 13:35:48.215	3	Normal	Goed	Huidige Data	Valid	None
1-5-2023 13:33:22.115	1	Normal	Goed	Huidige Data	Valid	None
1-5-2023 12:02:46.415	3	Normal	Goed	Huidige Data	Valid	None
1-5-2023 12:02:31.766	2	Normal	Goed	Huidige Data	Valid	None
1-5-2023 11:47:31.265	3	Normal	Goed	Huidige Data	Valid	None
1-5-2023 11:45:46.415	1	Normal	Goed	Huidige Data	Valid	None
1-5-2023 11:43:37.765	3	Normal	Goed	Huidige Data	Valid	None
1-5-2023 11:42:43.266	2	Normal	Goed	Huidige Data	Valid	None
22-4-2023 18:35:47.295	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
22-4-2023 18:04:01.858	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-3-2023 1:25:02.670	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
25-3-2023 21:32:07.882	3	Normal	Goed	Huidige Data	Valid	None
25-3-2023 21:32:04.832	2	Normal	Goed	Huidige Data	Valid	None
25-3-2023 21:28:50.082	3	Normal	Goed	Huidige Data	Valid	None
25-3-2023 21:28:44.882	2	Normal	Goed	Huidige Data	Valid	None
16-3-2023 1:25:02.399	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-3-2023 13:47:07.083	3	Normal	Goed	Huidige Data	Valid	None
15-3-2023 13:42:57.483	2	Normal	Goed	Huidige Data	Valid	None
6-3-2023 6:47:36.825	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-3-2023 6:39:46.874	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
30-1-2023 13:25:02.537	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
30-1-2023 7:00:52.695	3	Normal	Goed	Huidige Data	Valid	None
30-1-2023 6:37:14.195	35	Normal	Goed	Huidige Data	Valid	None
26-1-2023 23:19:19.485	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-1-2023 15:40:19.223	3	Normal	Goed	Huidige Data	Valid	None
26-1-2023 15:39:31.023	1	Normal	Goed	Huidige Data	Valid	None
26-1-2023 15:11:10.723	3	Normal	Goed	Huidige Data	Valid	None
26-1-2023 15:06:01.124	1	Normal	Goed	Huidige Data	Valid	None
26-1-2023 14:45:08.223	3	Normal	Goed	Huidige Data	Valid	None
26-1-2023 14:39:23.473	1	Normal	Goed	Huidige Data	Valid	None
24-1-2023 6:54:35.148	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
24-1-2023 6:47:13.888	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
23-1-2023 13:25:02.490	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
23-1-2023 9:32:18.603	3	Normal	Goed	Huidige Data	Valid	None
23-1-2023 9:32:17.603	2	Normal	Goed	Huidige Data	Valid	None
23-1-2023 7:16:04.403	3	Normal	Goed	Huidige Data	Valid	None
23-1-2023 6:55:59.153	2	Normal	Goed	Huidige Data	Valid	None
23-1-2023 1:25:02.621	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
22-1-2023 15:09:46.734	3	Normal	Goed	Huidige Data	Valid	None
22-1-2023 15:02:50.034	2	Normal	Goed	Huidige Data	Valid	None
22-1-2023 15:00:28.284	0	Normal	Goed	Huidige Data	Valid	None
22-1-2023 14:59:15.484	1	Normal	Goed	Huidige Data	Valid	None
22-1-2023 13:25:02.676	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
22-1-2023 8:33:03.676	3	Normal	Goed	Huidige Data	Valid	None
22-1-2023 8:32:31.526	2	Normal	Goed	Huidige Data	Valid	None
21-1-2023 8:45:36.481	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-1-2023 1:25:02.387	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-1-2023 15:33:51.454	3	Normal	Goed	Huidige Data	Valid	None
17-1-2023 15:30:04.804	1	Normal	Goed	Huidige Data	Valid	None
13-1-2023 13:25:03.246	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-1-2023 11:33:07.439	3	Normal	Goed	Huidige Data	Valid	None
13-1-2023 11:29:13.039	1	Normal	Goed	Huidige Data	Valid	None
13-1-2023 11:17:10.339	3	Normal	Goed	Huidige Data	Valid	None
13-1-2023 1:25:02.562	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
